Plot_ID,Longitude,Latitude,LAI_in_situ,Cab_in_situ,Cm_in_situ,Cw_in_situ
PLOT_SA_001,28.556181017827104,-26.360545352148616,1.8260118384086272,57.77302920055036,0.006891374611901905,0.03316319072396894
PLOT_SA_002,28.642607145961485,-26.378781943065338,1.7199482168954179,50.18289296900118,0.0030855093170826936,0.01351856646035643
PLOT_SA_003,28.60979909127171,-26.404989436523437,5.365052773762228,38.70869145436626,0.012102909907056678,0.010454859023470792
PLOT_SA_004,28.589798772629553,-26.369280911471844,2.465488623333802,19.891708032550074,0.009259255246565465,0.005581786626715277
PLOT_SA_005,28.523402796066364,-26.379449188465134,4.960232775885567,39.58079375584162,0.007514886120210691,0.01902350235226388
PLOT_SA_006,28.52339917805043,-26.472014491167094,3.6556931299863145,38.67358853902829,0.013782607006231568,0.028596707474185325
PLOT_SA_007,28.50871254182523,-26.366116150226503,4.474056517708242,23.66009349550076,0.0034455672699799673,0.020689761803989293
PLOT_SA_008,28.629926421866237,-26.419098663712653,3.0131854655259604,36.69258246189865,0.00840412635578117,0.022498996880949165
PLOT_SA_009,28.590167251761482,-26.37888397672539,3.3845194231317954,34.92523671986867,0.002147597381976448,0.04116634777974994
PLOT_SA_010,28.606210886669405,-26.365586305011476,2.9625884690943196,45.79250490261082,0.008092588345923642,0.018930218680932014
PLOT_SA_011,28.50308767414437,-26.45229947875422,1.4762149389902226,46.75468254338219,0.0027319425838638854,0.025559579566392432
PLOT_SA_012,28.6454864778243,-26.483492211320847,4.112260576307527,17.265200488602225,0.003544632911484935,0.036346120509645724
PLOT_SA_013,28.624866396120062,-26.46580972561871,1.903861812204279,33.73063073132356,0.0035278412081023633,0.020861711292850808
PLOT_SA_014,28.53185086660174,-26.435933831706063,0.6215798321572692,46.292995785711824,0.010439733927508826,0.02988346800911494
PLOT_SA_015,28.527273745081065,-26.377297785111626,3.727361479535839,40.15681292900439,0.011698583430450502,0.039494548349869804
PLOT_SA_016,28.527510676478016,-26.37089041251155,1.3855533970352447,57.824492059416116,0.009583793946263075,0.04298082494630568
PLOT_SA_017,28.54563633644393,-26.498957180420323,5.202292921764571,47.93468158094725,0.014508243130169044,0.010882939237161517
PLOT_SA_018,28.578713464744833,-26.423387904613367,5.269642885012937,23.146721354071484,0.0068733175338081525,0.04206350500645977
PLOT_SA_019,28.564791752796317,-26.437388349527684,5.074321951102243,18.528437370021493,0.0057142571216641895,0.02468465172318153
PLOT_SA_020,28.543684371029705,-26.466683828429392,2.350793501277222,47.12096391031578,0.013291788666462983,0.015329775531958335
PLOT_SA_021,28.591777934208356,-26.48202019489995,0.5772830826443371,16.32556552708109,0.004906745900752884,0.023365430249530455
PLOT_SA_022,28.520924079097806,-26.449357724289456,5.141592812938627,44.28877906367316,0.014521893012727946,0.04420130301141908
PLOT_SA_023,28.543821697280283,-26.358563544413123,2.6409207415865716,62.01151207124788,0.0021580081709676124,0.024704723759714785
PLOT_SA_024,28.554954276494055,-26.451519560196886,5.333274095218348,43.77370889379395,0.014608424747199308,0.018150064411500327
PLOT_SA_025,28.568410497632556,-26.422181406738495,5.318099885446264,34.4084963103261,0.0025610788553574893,0.030336034172669033
PLOT_SA_026,28.617776394208953,-26.394547156165725,4.765047277336801,47.16441092211766,0.013584860478074924,0.014605824751127722
PLOT_SA_027,28.529951067323754,-26.445455559643108,1.9722444603479286,37.91264452457583,0.008860114418121897,0.008034533124346557
PLOT_SA_028,28.57713516576204,-26.354232687591857,2.4254886430096265,42.280839465796745,0.014908542349550904,0.010155188876425969
PLOT_SA_029,28.588862185329305,-26.355632905758686,4.755683357584284,62.07324043882626,0.002959355341560185,0.010121833558310898
PLOT_SA_030,28.506967561908,-26.462232655626195,2.084610025781388,34.30513189003871,0.00920010569721717,0.011076107740491774
PLOT_SA_031,28.591131727785214,-26.425412724116143,1.3474637334304624,63.05952819119571,0.014600932963048286,0.010553086905976405
PLOT_SA_032,28.525578618553094,-26.454868253527486,3.284006312291751,60.26753209780318,0.008800271974211935,0.030634989792128586
PLOT_SA_033,28.50975773894779,-26.45727392584338,5.180773870803905,24.78955673946482,0.010182182295758412,0.012275203375965793
PLOT_SA_034,28.642332830588,-26.49446695789682,3.980148983374865,18.468065043758273,0.011044732956800023,0.018826691332954528
PLOT_SA_035,28.64484480496118,-26.408565349903018,3.3503058504468246,20.03890006887133,0.007909033841981052,0.04087153639624047
PLOT_SA_036,28.621259602217467,-26.42459814651567,0.9858824688538427,15.911091282577486,0.010158255041092825,0.023958465610514894
PLOT_SA_037,28.545692065376006,-26.4922781873125,3.575036133495849,19.72214803779642,0.009596086055000303,0.031702309540841085
PLOT_SA_038,28.514650817100957,-26.45820303036451,5.450269250521316,49.150338670817845,0.013715054136382855,0.011892794848065193
PLOT_SA_039,28.60263495397682,-26.363760117105002,1.20042007618262,18.55943242301145,0.002590802944438952,0.012691560752346832
PLOT_SA_040,28.56602287406094,-26.464065716399954,3.091648261818684,30.948781514688065,0.0056525214646989935,0.006634744650659155
PLOT_SA_041,28.51830573522672,-26.478265769186315,4.886865359639777,57.24376554847273,0.014355349292995263,0.011757402522886581
PLOT_SA_042,28.574276536516688,-26.426582085958366,4.203843088771022,16.16359678679129,0.013573429190581911,0.016143613561278344
PLOT_SA_043,28.505158278167283,-26.35215243188341,3.98507870497634,55.72342412944679,0.007923537786214269,0.012080419371069873
PLOT_SA_044,28.636398060311816,-26.463691709273274,4.012420419935546,29.092738738669997,0.010061723771419976,0.008548101350282226
PLOT_SA_045,28.53881699724,-26.39917966788912,2.297455756098776,20.908241381082814,0.005605955378754725,0.009825434844024032
PLOT_SA_046,28.599378342653097,-26.385757057700694,1.9679592213224668,49.836858268207536,0.004445575076408897,0.02343115072130903
